entry_index,timestamp,symbol,side,entry_price,source_close,proxy_bid,proxy_ask,spread_pct,signal_score_pct,threshold_pct,ari_threshold_pct,theo_threshold_pct,ari_clears,theo_clears,consistent,admission_score,required_score,mfe_240m_points,mae_240m_points,return_60m_points,mfe_60m_points,mae_60m_points,return_120m_points,mfe_120m_points,mae_120m_points,return_180m_points,mfe_180m_points,mae_180m_points,return_240m_points
18,2026-04-19T23:40:00+00:00,XAUUSD,Sell,4770.723075,4771.200195,4770.723075,4771.677315,0.0002,-0.004029,0.0036,0.0036,0.0005,True,True,True,55,45,14.723075,-108.877022,-13.276925,14.723075,-17.47712,-55.377022,14.723075,-60.576729,-44.676827,14.723075,-63.776925,-47.676827
19,2026-04-19T23:45:00+00:00,XAUUSD,Sell,4763.323425,4763.799805,4763.323425,4764.276185,0.0002,-0.005324,0.0036,0.0036,0.0005,True,True,True,55,45,-0.376771,-116.276673,-20.876771,-0.376771,-24.876771,-66.876771,-0.376771,-70.876771,-49.97638,-0.376771,-71.176575,-54.076478
20,2026-04-19T23:50:00+00:00,XAUUSD,Sell,4771.622888,4772.100098,4771.622888,4772.577308,0.0002,-0.004007,0.0036,0.0036,0.0005,True,True,True,55,45,7.422692,-107.97721,-11.377112,7.422692,-16.577308,-60.97721,7.422692,-62.877112,-36.47721,7.422692,-107.97721,-45.077308
34,2026-04-20T01:00:00+00:00,XAUUSD,Buy,4807.380592,4806.899902,4806.419212,4807.380592,0.0002,0.004787,0.0036,0.0036,0.0005,True,True,True,55,45,72.219505,-6.48069,16.819603,27.119408,-6.48069,7.419212,72.219505,-6.48069,8.219505,72.219505,-6.48069,23.51931
35,2026-04-20T01:05:00+00:00,XAUUSD,Buy,4808.180965,4807.700195,4807.219425,4808.180965,0.0002,0.004912,0.0036,0.0036,0.0005,True,True,True,55,45,71.419132,-3.580868,14.419132,26.319035,-2.281063,4.01923,71.419132,-3.580868,7.51923,71.419132,-3.580868,21.919132
36,2026-04-20T01:10:00+00:00,XAUUSD,Buy,4813.381192,4812.899902,4812.418612,4813.381192,0.0002,0.006251,0.0036,0.0036,0.0005,True,True,True,65,45,66.218905,-8.781095,6.918612,21.118808,-5.381192,-1.98129,66.218905,-8.781095,-2.680997,66.218905,-8.781095,14.218905
37,2026-04-20T01:15:00+00:00,XAUUSD,Buy,4812.181365,4811.700195,4811.219025,4812.181365,0.0002,0.004111,0.0036,0.0036,0.0005,True,True,True,55,45,67.418732,-7.581268,8.418732,22.318635,-1.081268,-0.881561,67.418732,-7.581268,0.51883,67.418732,-7.581268,18.418732
81,2026-04-20T11:50:00+00:00,XAUUSD,Buy,4827.182865,4826.700195,4826.217525,4827.182865,0.0002,0.00391,0.0036,0.0036,0.0005,True,True,True,55,45,20.717037,-15.282963,-3.782963,15.717037,-8.383061,14.616939,20.116939,-8.383061,1.717037,20.717037,-15.282963,-11.782963
82,2026-04-20T11:55:00+00:00,XAUUSD,Buy,4831.382992,4830.899902,4830.416812,4831.382992,0.0002,0.004366,0.0036,0.0036,0.0005,True,True,True,55,45,16.51691,-19.48309,-8.083188,11.51691,-12.583188,7.416812,15.916812,-12.583188,-6.48309,16.51691,-19.48309,-11.48309
83,2026-04-20T12:00:00+00:00,XAUUSD,Buy,4830.583108,4830.100098,4829.617088,4830.583108,0.0002,0.003991,0.0036,0.0036,0.0005,True,True,True,55,45,17.316795,-18.683205,-7.083108,12.316795,-11.783303,7.117088,16.716697,-11.783303,-12.583108,17.316795,-18.683205,-15.683205
378,2026-04-21T13:40:00+00:00,XAUUSD,Buy,4808.880742,4808.399902,4807.919062,4808.880742,0.0002,0.004156,0.0036,0.0036,0.0005,True,True,True,55,45,4.919062,-93.880742,-46.080938,4.919062,-47.680547,-44.680547,4.919062,-67.98084,-68.880742,4.919062,-71.280645,-71.48084
390,2026-04-21T14:40:00+00:00,XAUUSD,Sell,4762.323525,4762.799805,4762.323525,4763.276085,0.0002,-0.005928,0.0036,0.0036,0.0005,True,True,True,65,45,50.323525,-14.276573,-1.876671,21.423622,-14.276573,22.323525,24.723427,-14.276573,24.923622,47.323525,-14.276573,39.923622
391,2026-04-21T14:45:00+00:00,XAUUSD,Sell,4745.425312,4745.899902,4745.425312,4746.374492,0.0002,-0.009744,0.0036,0.0036,0.0005,True,True,True,75,45,33.425312,-31.174785,-19.274883,4.52541,-31.174785,4.825215,8.325215,-31.174785,14.02541,30.425312,-31.174785,24.52541
392,2026-04-21T14:50:00+00:00,XAUUSD,Sell,4756.724475,4757.200195,4756.724475,4757.675915,0.0002,-0.00608,0.0036,0.0036,0.0005,True,True,True,65,45,44.724475,-19.875622,-2.675427,10.824573,-19.875622,28.52428,30.324573,-19.875622,29.624378,41.724475,-19.875622,28.624378
450,2026-04-21T19:40:00+00:00,XAUUSD,Sell,4689.930862,4690.399902,4689.930862,4690.868942,0.0002,-0.009084,0.0036,0.0036,0.0005,True,True,True,75,45,1.53096,-76.069138,-40.368942,1.53096,-42.868942,-45.569138,1.53096,-58.169235,-59.868942,1.53096,-62.069138,-69.96904
451,2026-04-21T19:45:00+00:00,XAUUSD,Sell,4700.230125,4700.700195,4700.230125,4701.170265,0.0002,-0.006803,0.0036,0.0036,0.0005,True,True,True,65,45,11.830223,-65.769875,-31.769875,11.830223,-32.569679,-34.569679,11.830223,-47.869972,-55.869972,11.830223,-56.169777,-61.269875
452,2026-04-21T19:50:00+00:00,XAUUSD,Sell,4698.03015,4698.5,4698.03015,4698.96985,0.0002,-0.006492,0.0036,0.0036,0.0005,True,True,True,65,45,9.630248,-67.96985,-37.46985,9.630248,-39.269655,-38.96985,9.630248,-50.069948,-58.769655,9.630248,-60.369752,-59.96985
453,2026-04-21T19:55:00+00:00,XAUUSD,Sell,4697.829975,4698.299805,4697.829975,4698.769635,0.0002,-0.004555,0.0036,0.0036,0.0005,True,True,True,55,45,9.430072,-68.170025,-40.670025,9.430072,-41.770123,-39.770123,9.430072,-50.270123,-57.96983,9.430072,-60.569928,-59.870221
457,2026-04-21T20:15:00+00:00,XAUUSD,Buy,4722.772035,4722.299805,4721.827575,4722.772035,0.0002,0.005108,0.0036,0.0036,0.0005,True,True,True,55,45,43.227965,-1.171937,16.02777,25.328063,-1.171937,26.627868,28.02777,-1.171937,39.02777,43.227965,-1.171937,35.627868
458,2026-04-21T20:20:00+00:00,XAUUSD,Buy,4729.072958,4728.600098,4728.127238,4729.072958,0.0002,0.006878,0.0036,0.0036,0.0005,True,True,True,65,45,38.326945,-4.872762,6.927042,19.02714,-4.872762,21.127238,22.02714,-4.872762,31.02714,36.927042,-4.872762,34.627238
459,2026-04-21T20:25:00+00:00,XAUUSD,Buy,4725.072558,4724.600098,4724.127638,4725.072558,0.0002,0.00517,0.0036,0.0036,0.0005,True,True,True,55,45,42.327345,-0.772753,11.927442,23.02754,-0.772753,22.927442,26.02754,-0.772753,35.52754,40.927442,-0.772753,39.02754
768,2026-04-23T00:10:00+00:00,XAUUSD,Sell,4715.728575,4716.200195,4715.728575,4716.671815,0.0002,-0.005986,0.0036,0.0036,0.0005,True,True,True,65,45,5.328673,-55.571229,-38.97162,5.328673,-55.571229,-7.871522,5.328673,-55.571229,-2.171327,5.328673,-55.571229,-6.371522
771,2026-04-23T00:25:00+00:00,XAUUSD,Buy,4759.176065,4758.700195,4758.224325,4759.176065,0.0002,0.005387,0.0036,0.0036,0.0005,True,False,True,55,45,12.123739,-45.276163,-14.075968,12.123739,-15.575968,-29.376261,12.123739,-38.176065,-39.97587,12.123739,-45.276163,-37.876261
772,2026-04-23T00:30:00+00:00,XAUUSD,Buy,4764.376292,4763.899902,4763.423512,4764.376292,0.0002,0.010114,0.0036,0.0036,0.0005,True,True,True,75,45,6.923512,-50.47639,-18.47639,6.923512,-21.676097,-35.47639,6.923512,-43.376292,-45.176097,6.923512,-50.47639,-42.776195
773,2026-04-23T00:35:00+00:00,XAUUSD,Buy,4763.4763,4763.0,4762.5237,4763.4763,0.0002,0.005043,0.0036,0.0036,0.0005,True,True,True,55,45,7.823505,-49.576398,-14.176495,7.823505,-20.776105,-36.076398,7.823505,-42.4763,-44.9763,7.823505,-49.576398,-44.776105
791,2026-04-23T02:05:00+00:00,XAUUSD,Sell,4730.227125,4730.700195,4730.227125,4731.173265,0.0002,-0.004189,0.0036,0.0036,0.0005,True,True,True,55,45,24.52693,-3.97307,10.327223,16.227125,-3.97307,10.327223,16.327223,-3.97307,4.827223,16.327223,-3.97307,0.827223
792,2026-04-23T02:10:00+00:00,XAUUSD,Sell,4723.127738,4723.600098,4723.127738,4724.072458,0.0002,-0.003649,0.0036,0.0036,0.0005,True,True,True,55,45,17.427542,-11.072458,5.227835,9.127738,-11.072458,1.02764,9.227835,-11.072458,-0.572458,9.227835,-11.072458,-5.072458
908,2026-04-23T11:50:00+00:00,XAUUSD,Buy,4731.873042,4731.399902,4730.926762,4731.873042,0.0002,0.003734,0.0036,0.0036,0.0005,True,True,True,55,45,29.827153,-1.172847,23.126958,28.02686,-1.172847,21.327153,29.827153,-1.172847,20.426762,29.827153,-1.172847,2.227055
909,2026-04-23T11:55:00+00:00,XAUUSD,Buy,4737.873642,4737.399902,4736.926162,4737.873642,0.0002,0.004005,0.0036,0.0036,0.0005,True,True,True,55,45,23.826553,-4.573838,19.826553,23.826553,-1.573838,4.126358,23.826553,-1.573838,12.726455,23.826553,-3.97374,-0.573838
910,2026-04-23T12:00:00+00:00,XAUUSD,Buy,4748.274585,4747.799805,4747.325025,4748.274585,0.0002,0.005506,0.0036,0.0036,0.0005,True,True,True,65,45,13.425611,-14.97478,2.325513,13.425611,-5.47478,-7.674487,13.425611,-14.374682,2.125318,13.425611,-14.374682,-13.774585
911,2026-04-23T12:05:00+00:00,XAUUSD,Buy,4747.374592,4746.899902,4746.425212,4747.374592,0.0002,0.005124,0.0036,0.0036,0.0005,True,True,True,55,45,14.325603,-14.874592,-2.774495,14.325603,-4.574788,-8.774495,14.325603,-13.47469,-1.874592,14.325603,-13.47469,-10.374592
971,2026-04-23T17:05:00+00:00,XAUUSD,Sell,4726.827075,4727.299805,4726.827075,4727.772535,0.0002,-0.005198,0.0036,0.0036,0.0005,True,True,True,55,45,46.726977,-11.873121,0.226977,46.726977,-11.873121,14.726977,46.726977,-11.873121,13.827075,46.726977,-11.873121,13.827075
972,2026-04-23T17:10:00+00:00,XAUUSD,Sell,4732.126838,4732.600098,4732.126838,4733.073358,0.0002,-0.00381,0.0036,0.0036,0.0005,True,True,True,55,45,52.02674,-6.573358,1.926642,52.02674,-6.573358,19.226935,52.02674,-6.573358,25.126838,52.02674,-6.573358,19.327033
973,2026-04-23T17:15:00+00:00,XAUUSD,Sell,4725.227625,4725.700195,4725.227625,4726.172765,0.0002,-0.005074,0.0036,0.0036,0.0005,True,True,True,55,45,45.127528,-13.47257,-4.872472,45.127528,-13.47257,9.927821,45.127528,-13.47257,17.827723,45.127528,-13.47257,16.127528
974,2026-04-23T17:20:00+00:00,XAUUSD,Sell,4723.727775,4724.200195,4723.727775,4724.672615,0.0002,-0.003817,0.0036,0.0036,0.0005,True,True,True,55,45,43.627678,-14.97242,-5.172127,43.627678,-14.97242,6.02758,43.627678,-14.97242,15.127678,43.627678,-14.97242,13.227775
978,2026-04-23T17:40:00+00:00,XAUUSD,Sell,4693.03065,4693.5,4693.03065,4693.96935,0.0002,-0.006498,0.0036,0.0036,0.0005,True,False,True,65,45,12.930552,-45.669545,-34.769155,12.930552,-45.669545,-15.869252,12.930552,-45.669545,-14.269155,12.930552,-45.669545,-15.369252
